trial,nrows,nbins,filter,sketch_size,time (ns)
1,1000000,100,filter2,4,6479200.00
2,1000000,100,filter2,4,6066000.00
3,1000000,100,filter2,4,6077100.00
4,1000000,100,filter2,4,6835900.00
0,1000000,100,filter2,8,9955000.00
1,1000000,100,filter2,8,9260800.00
2,1000000,100,filter2,8,9929600.00
3,1000000,100,filter2,8,10356200.00
4,1000000,100,filter2,8,10439300.00
0,1000000,100,filter3,1,2387800.00
1,1000000,100,filter3,1,2891100.00
2,1000000,100,filter3,1,2366900.00
3,1000000,100,filter3,1,2181600.00
4,1000000,100,filter3,1,2107300.00
0,1000000,100,filter3,2,3663800.00
1,1000000,100,filter3,2,4508500.00
2,1000000,100,filter3,2,3507400.00
3,1000000,100,filter3,2,3190700.00
4,1000000,100,filter3,2,3594900.00
0,1000000,100,filter3,4,5463000.00
1,1000000,100,filter3,4,5174900.00
2,1000000,100,filter3,4,5215900.00
3,1000000,100,filter3,4,5534600.00
4,1000000,100,filter3,4,5234200.00
0,1000000,100,filter3,8,8726600.00
1,1000000,100,filter3,8,7955400.00
2,1000000,100,filter3,8,9972300.00
3,1000000,100,filter3,8,9306500.00
4,1000000,100,filter3,8,11010900.00
0,1000000,1000,filter1,1,1242600.00
1,1000000,1000,filter1,1,1070600.00
2,1000000,1000,filter1,1,889500.00
3,1000000,1000,filter1,1,837000.00
4,1000000,1000,filter1,1,813100.00
0,1000000,1000,filter1,2,2390900.00
1,1000000,1000,filter1,2,2086000.00
2,1000000,1000,filter1,2,2483100.00
3,1000000,1000,filter1,2,1938300.00
4,1000000,1000,filter1,2,1829800.00
0,1000000,1000,filter1,4,3467300.00
1,1000000,1000,filter1,4,3929200.00
2,1000000,1000,filter1,4,3791500.00
3,1000000,1000,filter1,4,3652100.00
4,1000000,1000,filter1,4,3990500.00
0,1000000,1000,filter1,8,7110900.00
1,1000000,1000,filter1,8,8627000.00
2,1000000,1000,filter1,8,8607000.00
3,1000000,1000,filter1,8,8378300.00
4,1000000,1000,filter1,8,7926600.00
0,1000000,1000,filter2,1,1426900.00
1,1000000,1000,filter2,1,1603000.00
2,1000000,1000,filter2,1,1572200.00
3,1000000,1000,filter2,1,1291100.00
4,1000000,1000,filter2,1,1215100.00
0,1000000,1000,filter2,2,5539700.00
1,1000000,1000,filter2,2,4171800.00
2,1000000,1000,filter2,2,3575800.00
3,1000000,1000,filter2,2,3698800.00
4,1000000,1000,filter2,2,3831500.00
0,1000000,1000,filter2,4,6257300.00
1,1000000,1000,filter2,4,6677200.00
2,1000000,1000,filter2,4,7370400.00
3,1000000,1000,filter2,4,8189500.00
4,1000000,1000,filter2,4,6314700.00
0,1000000,1000,filter2,8,13719300.00
1,1000000,1000,filter2,8,11678700.00
2,1000000,1000,filter2,8,9442200.00
3,1000000,1000,filter2,8,9472600.00
4,1000000,1000,filter2,8,10465700.00
0,1000000,1000,filter3,1,1571600.00
1,1000000,1000,filter3,1,1339600.00
2,1000000,1000,filter3,1,1458900.00
3,1000000,1000,filter3,1,1210800.00
4,1000000,1000,filter3,1,1397300.00
0,1000000,1000,filter3,2,2390700.00
1,1000000,1000,filter3,2,2112000.00
2,1000000,1000,filter3,2,2186200.00
3,1000000,1000,filter3,2,2411500.00
4,1000000,1000,filter3,2,2559500.00
0,1000000,1000,filter3,4,3926500.00
1,1000000,1000,filter3,4,3608900.00
2,1000000,1000,filter3,4,3462000.00
3,1000000,1000,filter3,4,3334800.00
4,1000000,1000,filter3,4,3570300.00
0,1000000,1000,filter3,8,6092400.00
1,1000000,1000,filter3,8,5190600.00
2,1000000,1000,filter3,8,7433600.00
3,1000000,1000,filter3,8,4050300.00
4,1000000,1000,filter3,8,3963200.00
0,1000000,10000,filter1,1,1017800.00
1,1000000,10000,filter1,1,702400.00
